UCL_CODE11,UCL_NAME11,fraction_with_internet,score_internet
115139,Tocumwal,0.6683489545782264,0.732468862925835
115140,Tumbarumba,0.6717724288840262,0.736220777722511
115141,Tuross Head,0.7322878745449454,0.8025419402964483
115142,Uralla,0.7342192691029901,0.8046586285415657
115143,Urunga,0.7321598477640342,0.8024016309116642
115144,Valla Beach,0.7346278317152104,0.8051063877397466
115145,Vincentia,0.7585315408479835,0.8313033654237192
115146,Walcha,0.6158273381294964,0.6749084397132251
115147,Walgett,0.5240145743623716,0.5742873641240166
115148,Wallacia,0.8394337016574586,0.9199670991371284
115149,Wallerawang,0.664639708117969,0.7284037596314474
115150,Warialda,0.5970328789093825,0.6543108819853907
115151,Warren,0.583616093068347,0.6396069196289231
115152,Wee Waa,0.614406779661017,0.6733515960329901
115153,Wellington,0.6071973162549558,0.6654504727841694
115154,Wentworth,0.661626481405803,0.7251014506677254
115155,Werris Creek,0.6427221172022685,0.7043834439174386
115156,West Wyalong,0.6313853698406212,0.6919590742937837
115157,Wilberforce,0.837890625,0.9182759831460674
115158,Wingham,0.676154923005133,0.7410237185570516
115159,Wollongbar,0.7905053598774885,0.8663446813523383
115160,Woolgoolga,0.7319548152402834,0.8021769280247877
115161,Wyee,0.7587727032269441,0.8315676643835481
115162,Wyee Point,0.7587727032269441,0.8315676643835481
115163,Yenda,0.6795326517838515,0.7447254991027862
121001,Adelong (L),0.655746229849194,0.7186570608891771
121002,Baradine (L),0.6183274021352313,0.6776483542847651
121003,Bawley Point (L),0.7477436823104693,0.8194805437940147
121004,Beechwood (L),0.7380666826577117,0.8088751543733608
121005,Belimbla Park (L),0.8259471050750536,0.9051866285524356
121006,Berrara - Cudmirrah (L),0.7477436823104693,0.8194805437940147
121007,Berridale (L),0.6681391496410822,0.7322389297708662
121008,Berrigan (L),0.6683489545782264,0.732468862925835
121009,Boggabilla (L),0.6098741529525653,0.6683841192254562
121010,Boggabri (L),0.663850331925166,0.7275386524469407
121011,Brandy Hill (L),0.865874363327674,0.9489444189278224
121012,Brewarrina (L),0.5143380109823062,0.5636824528310841
121014,Burringbar (L),0.7936569328949913,0.8697986092574321
121015,Catherine Field (L),0.8215995743926228,0.9004220054709124
121016,Clarence Town (L),0.7319942611190817,0.8022201582532373
121017,Clifton Grove (L),0.7914093206064009,0.8673353660578361
